SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,playoffsBool,GP,WINS,LOSSES,WIN_PCT,PO_WINS,PO_LOSSES,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS
1986,1610612744,Golden State,Warriors,West,32-28,5,1,82,42,40,0.512,4,6,43.3,90.4,0.479,1.4,4.4,0.319,24.0,30.8,0.78,14.5,28.7,43.2,25.4,26.1,8.7,16.5,3.9,112.0
1986,1610612764,Washington,Bullets,East,26-32,6,1,82,42,40,0.512,0,3,40.9,90.2,0.454,0.5,2.7,0.197,23.6,30.9,0.765,15.9,28.2,44.1,21.3,21.6,9.2,15.9,8.4,106.0
1986,1610612754,Indiana,Pacers,East,28-30,7,1,82,41,41,0.5,1,3,42.1,89.3,0.472,1.1,3.9,0.297,20.7,26.5,0.782,13.8,30.0,43.9,26.5,25.6,8.5,15.6,3.8,106.1
1986,1610612760,Seattle,SuperSonics,West,32-28,7,1,82,39,43,0.476,7,7,43.8,90.9,0.482,2.3,7.0,0.335,23.8,31.4,0.758,16.7,29.2,46.0,26.6,27.1,8.6,18.4,5.5,113.7
1986,1610612743,Denver,Nuggets,West,28-32,8,1,82,37,45,0.451,0,3,45.7,97.0,0.471,1.3,4.8,0.271,24.1,31.3,0.769,15.8,28.9,44.7,28.3,26.6,9.2,14.8,5.1,116.7
1986,1610612741,Chicago,Bulls,East,30-28,8,1,82,40,42,0.488,0,3,41.2,87.3,0.473,1.0,3.6,0.261,21.4,27.5,0.778,15.2,29.3,44.5,26.1,23.4,8.3,15.3,5.3,104.8
1986,1610612756,Phoenix,Suns,West,28-32,9,0,82,36,46,0.439,0,0,43.6,87.7,0.497,0.7,3.1,0.242,23.2,30.5,0.76,13.6,28.9,42.4,28.7,25.0,8.6,18.3,4.8,111.1
1986,1610612739,Cleveland,Cavaliers,East,22-36,9,0,82,31,51,0.378,0,0,40.8,86.9,0.47,1.0,4.1,0.24,21.7,31.1,0.697,15.3,29.5,44.8,23.3,22.6,8.2,19.7,6.8,104.4
1986,1610612751,New Jersey,Nets,East,20-38,10,0,82,24,58,0.293,0,0,41.1,86.4,0.476,1.8,5.5,0.323,24.4,31.8,0.767,14.3,29.4,43.6,24.3,28.7,7.8,19.7,4.8,108.5
1986,1610612752,New York,Knicks,East,16-42,10,0,82,24,58,0.293,0,0,40.6,85.6,0.474,1.5,4.6,0.333,21.0,28.8,0.73,13.5,26.4,39.9,23.7,24.7,8.6,17.3,4.8,103.8
